DateTime,Date,Time,Currency,Impact,Event
2012-03-08T13:30:00+00:00,2012-03-08,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-03-13T13:30:00+00:00,2012-03-13,13:30,USD,High Impact Expected,CPI m/m
2012-03-13T19:00:00+00:00,2012-03-13,19:00,USD,High Impact Expected,FOMC Statement
2012-03-15T13:30:00+00:00,2012-03-15,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-03-22T13:30:00+00:00,2012-03-22,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-03-29T13:30:00+00:00,2012-03-29,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-03-30T13:30:00+00:00,2012-03-30,13:30,USD,High Impact Expected,Core PCE m/m
2012-04-05T13:30:00+00:00,2012-04-05,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-04-06T13:30:00+00:00,2012-04-06,13:30,USD,High Impact Expected,Non-Farm Employment Change
2012-04-12T13:30:00+00:00,2012-04-12,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-04-13T13:30:00+00:00,2012-04-13,13:30,USD,High Impact Expected,CPI m/m
2012-04-19T13:30:00+00:00,2012-04-19,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-04-25T19:00:00+00:00,2012-04-25,19:00,USD,High Impact Expected,FOMC Statement
2012-04-26T13:30:00+00:00,2012-04-26,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-04-27T13:30:00+00:00,2012-04-27,13:30,USD,High Impact Expected,Core PCE m/m
2012-05-03T13:30:00+00:00,2012-05-03,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-05-04T13:30:00+00:00,2012-05-04,13:30,USD,High Impact Expected,Non-Farm Employment Change
2012-05-10T13:30:00+00:00,2012-05-10,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-05-14T13:30:00+00:00,2012-05-14,13:30,USD,High Impact Expected,CPI m/m
2012-05-17T13:30:00+00:00,2012-05-17,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-05-24T13:30:00+00:00,2012-05-24,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-05-25T13:30:00+00:00,2012-05-25,13:30,USD,High Impact Expected,Core PCE m/m
2012-05-31T13:30:00+00:00,2012-05-31,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-06-01T13:30:00+00:00,2012-06-01,13:30,USD,High Impact Expected,Non-Farm Employment Change
2012-06-07T13:30:00+00:00,2012-06-07,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-06-13T13:30:00+00:00,2012-06-13,13:30,USD,High Impact Expected,CPI m/m
2012-06-14T13:30:00+00:00,2012-06-14,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-06-20T19:00:00+00:00,2012-06-20,19:00,USD,High Impact Expected,FOMC Statement
2012-06-21T13:30:00+00:00,2012-06-21,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-06-28T13:30:00+00:00,2012-06-28,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-06-29T13:30:00+00:00,2012-06-29,13:30,USD,High Impact Expected,Core PCE m/m
2012-07-05T13:30:00+00:00,2012-07-05,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-07-06T13:30:00+00:00,2012-07-06,13:30,USD,High Impact Expected,Non-Farm Employment Change
2012-07-12T13:30:00+00:00,2012-07-12,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-07-13T13:30:00+00:00,2012-07-13,13:30,USD,High Impact Expected,CPI m/m
2012-07-19T13:30:00+00:00,2012-07-19,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-07-26T13:30:00+00:00,2012-07-26,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-07-27T13:30:00+00:00,2012-07-27,13:30,USD,High Impact Expected,Core PCE m/m
2012-08-01T19:00:00+00:00,2012-08-01,19:00,USD,High Impact Expected,FOMC Statement
2012-08-02T13:30:00+00:00,2012-08-02,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-08-03T13:30:00+00:00,2012-08-03,13:30,USD,High Impact Expected,Non-Farm Employment Change
2012-08-09T13:30:00+00:00,2012-08-09,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-08-13T13:30:00+00:00,2012-08-13,13:30,USD,High Impact Expected,CPI m/m
2012-08-16T13:30:00+00:00,2012-08-16,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-08-23T13:30:00+00:00,2012-08-23,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-08-30T13:30:00+00:00,2012-08-30,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-08-31T13:30:00+00:00,2012-08-31,13:30,USD,High Impact Expected,Core PCE m/m
2012-09-06T13:30:00+00:00,2012-09-06,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-09-07T13:30:00+00:00,2012-09-07,13:30,USD,High Impact Expected,Non-Farm Employment Change
2012-09-13T13:30:00+00:00,2012-09-13,13:30,USD,High Impact Expected,CPI m/m
2012-09-13T13:30:00+00:00,2012-09-13,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-09-13T19:00:00+00:00,2012-09-13,19:00,USD,High Impact Expected,FOMC Statement
2012-09-20T13:30:00+00:00,2012-09-20,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-09-27T13:30:00+00:00,2012-09-27,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-09-28T13:30:00+00:00,2012-09-28,13:30,USD,High Impact Expected,Core PCE m/m
2012-10-04T13:30:00+00:00,2012-10-04,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-10-05T13:30:00+00:00,2012-10-05,13:30,USD,High Impact Expected,Non-Farm Employment Change
2012-10-11T13:30:00+00:00,2012-10-11,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-10-15T13:30:00+00:00,2012-10-15,13:30,USD,High Impact Expected,CPI m/m
2012-10-18T13:30:00+00:00,2012-10-18,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-10-24T19:00:00+00:00,2012-10-24,19:00,USD,High Impact Expected,FOMC Statement
2012-10-25T13:30:00+00:00,2012-10-25,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-10-26T13:30:00+00:00,2012-10-26,13:30,USD,High Impact Expected,Core PCE m/m
2012-11-01T13:30:00+00:00,2012-11-01,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-11-02T13:30:00+00:00,2012-11-02,13:30,USD,High Impact Expected,Non-Farm Employment Change
2012-11-08T13:30:00+00:00,2012-11-08,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-11-13T13:30:00+00:00,2012-11-13,13:30,USD,High Impact Expected,CPI m/m
2012-11-15T13:30:00+00:00,2012-11-15,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-11-22T13:30:00+00:00,2012-11-22,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-11-29T13:30:00+00:00,2012-11-29,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-11-30T13:30:00+00:00,2012-11-30,13:30,USD,High Impact Expected,Core PCE m/m
2012-12-03T15:00:00+00:00,2012-12-03,15:00,USD,High Impact Expected,ISM Manufacturing PMI
2012-12-06T13:30:00+00:00,2012-12-06,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-12-07T13:30:00+00:00,2012-12-07,13:30,USD,High Impact Expected,Non-Farm Employment Change
2012-12-12T19:00:00+00:00,2012-12-12,19:00,USD,High Impact Expected,FOMC Statement
2012-12-13T13:30:00+00:00,2012-12-13,13:30,USD,High Impact Expected,CPI m/m
2012-12-13T13:30:00+00:00,2012-12-13,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-12-20T13:30:00+00:00,2012-12-20,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-12-27T13:30:00+00:00,2012-12-27,13:30,USD,High Impact Expected,Initial Jobless Claims
2012-12-28T13:30:00+00:00,2012-12-28,13:30,USD,High Impact Expected,Core PCE m/m
2013-01-03T13:30:00+00:00,2013-01-03,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-01-04T13:30:00+00:00,2013-01-04,13:30,USD,High Impact Expected,Non-Farm Employment Change
2013-01-10T13:30:00+00:00,2013-01-10,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-01-14T13:30:00+00:00,2013-01-14,13:30,USD,High Impact Expected,CPI m/m
2013-01-17T13:30:00+00:00,2013-01-17,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-01-24T13:30:00+00:00,2013-01-24,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-01-25T13:30:00+00:00,2013-01-25,13:30,USD,High Impact Expected,Core PCE m/m
2013-01-30T19:00:00+00:00,2013-01-30,19:00,USD,High Impact Expected,FOMC Statement
2013-01-31T13:30:00+00:00,2013-01-31,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-02-01T13:30:00+00:00,2013-02-01,13:30,USD,High Impact Expected,Non-Farm Employment Change
2013-02-07T13:30:00+00:00,2013-02-07,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-02-13T13:30:00+00:00,2013-02-13,13:30,USD,High Impact Expected,CPI m/m
2013-02-14T13:30:00+00:00,2013-02-14,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-02-21T13:30:00+00:00,2013-02-21,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-02-22T13:30:00+00:00,2013-02-22,13:30,USD,High Impact Expected,Core PCE m/m
2013-02-28T13:30:00+00:00,2013-02-28,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-03-01T13:30:00+00:00,2013-03-01,13:30,USD,High Impact Expected,Non-Farm Employment Change
2013-03-07T13:30:00+00:00,2013-03-07,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-03-13T13:30:00+00:00,2013-03-13,13:30,USD,High Impact Expected,CPI m/m
2013-03-14T13:30:00+00:00,2013-03-14,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-03-20T19:00:00+00:00,2013-03-20,19:00,USD,High Impact Expected,FOMC Statement
2013-03-21T13:30:00+00:00,2013-03-21,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-03-28T13:30:00+00:00,2013-03-28,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-03-29T13:30:00+00:00,2013-03-29,13:30,USD,High Impact Expected,Core PCE m/m
2013-04-04T13:30:00+00:00,2013-04-04,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-04-05T13:30:00+00:00,2013-04-05,13:30,USD,High Impact Expected,Non-Farm Employment Change
2013-04-11T13:30:00+00:00,2013-04-11,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-04-15T13:30:00+00:00,2013-04-15,13:30,USD,High Impact Expected,CPI m/m
2013-04-18T13:30:00+00:00,2013-04-18,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-04-25T13:30:00+00:00,2013-04-25,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-04-26T13:30:00+00:00,2013-04-26,13:30,USD,High Impact Expected,Core PCE m/m
2013-05-01T19:00:00+00:00,2013-05-01,19:00,USD,High Impact Expected,FOMC Statement
2013-05-02T13:30:00+00:00,2013-05-02,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-05-03T13:30:00+00:00,2013-05-03,13:30,USD,High Impact Expected,Non-Farm Employment Change
2013-05-09T13:30:00+00:00,2013-05-09,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-05-13T13:30:00+00:00,2013-05-13,13:30,USD,High Impact Expected,CPI m/m
2013-05-16T13:30:00+00:00,2013-05-16,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-05-23T13:30:00+00:00,2013-05-23,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-05-30T13:30:00+00:00,2013-05-30,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-05-31T13:30:00+00:00,2013-05-31,13:30,USD,High Impact Expected,Core PCE m/m
2013-06-06T13:30:00+00:00,2013-06-06,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-06-07T13:30:00+00:00,2013-06-07,13:30,USD,High Impact Expected,Non-Farm Employment Change
2013-06-13T13:30:00+00:00,2013-06-13,13:30,USD,High Impact Expected,CPI m/m
2013-06-13T13:30:00+00:00,2013-06-13,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-06-19T19:00:00+00:00,2013-06-19,19:00,USD,High Impact Expected,FOMC Statement
2013-06-20T13:30:00+00:00,2013-06-20,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-06-27T13:30:00+00:00,2013-06-27,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-06-28T13:30:00+00:00,2013-06-28,13:30,USD,High Impact Expected,Core PCE m/m
2013-07-04T13:30:00+00:00,2013-07-04,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-07-05T13:30:00+00:00,2013-07-05,13:30,USD,High Impact Expected,Non-Farm Employment Change
2013-07-11T13:30:00+00:00,2013-07-11,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-07-15T13:30:00+00:00,2013-07-15,13:30,USD,High Impact Expected,CPI m/m
2013-07-18T13:30:00+00:00,2013-07-18,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-07-25T13:30:00+00:00,2013-07-25,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-07-26T13:30:00+00:00,2013-07-26,13:30,USD,High Impact Expected,Core PCE m/m
2013-07-31T19:00:00+00:00,2013-07-31,19:00,USD,High Impact Expected,FOMC Statement
2013-08-01T13:30:00+00:00,2013-08-01,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-08-02T13:30:00+00:00,2013-08-02,13:30,USD,High Impact Expected,Non-Farm Employment Change
2013-08-08T13:30:00+00:00,2013-08-08,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-08-13T13:30:00+00:00,2013-08-13,13:30,USD,High Impact Expected,CPI m/m
2013-08-15T13:30:00+00:00,2013-08-15,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-08-22T13:30:00+00:00,2013-08-22,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-08-29T13:30:00+00:00,2013-08-29,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-08-30T13:30:00+00:00,2013-08-30,13:30,USD,High Impact Expected,Core PCE m/m
2013-09-05T13:30:00+00:00,2013-09-05,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-09-06T13:30:00+00:00,2013-09-06,13:30,USD,High Impact Expected,Non-Farm Employment Change
2013-09-12T13:30:00+00:00,2013-09-12,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-09-13T13:30:00+00:00,2013-09-13,13:30,USD,High Impact Expected,CPI m/m
2013-09-18T19:00:00+00:00,2013-09-18,19:00,USD,High Impact Expected,FOMC Statement
2013-09-19T13:30:00+00:00,2013-09-19,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-09-26T13:30:00+00:00,2013-09-26,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-09-27T13:30:00+00:00,2013-09-27,13:30,USD,High Impact Expected,Core PCE m/m
2013-10-03T13:30:00+00:00,2013-10-03,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-10-04T13:30:00+00:00,2013-10-04,13:30,USD,High Impact Expected,Non-Farm Employment Change
2013-10-10T13:30:00+00:00,2013-10-10,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-10-14T13:30:00+00:00,2013-10-14,13:30,USD,High Impact Expected,CPI m/m
2013-10-17T13:30:00+00:00,2013-10-17,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-10-24T13:30:00+00:00,2013-10-24,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-10-25T13:30:00+00:00,2013-10-25,13:30,USD,High Impact Expected,Core PCE m/m
2013-10-30T19:00:00+00:00,2013-10-30,19:00,USD,High Impact Expected,FOMC Statement
2013-10-31T13:30:00+00:00,2013-10-31,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-11-01T13:30:00+00:00,2013-11-01,13:30,USD,High Impact Expected,Non-Farm Employment Change
2013-11-07T13:30:00+00:00,2013-11-07,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-11-13T13:30:00+00:00,2013-11-13,13:30,USD,High Impact Expected,CPI m/m
2013-11-14T13:30:00+00:00,2013-11-14,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-11-21T13:30:00+00:00,2013-11-21,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-11-28T13:30:00+00:00,2013-11-28,13:30,USD,High Impact Expected,Initial Jobless Claims
2013-11-29T13:30:00+00:00,2013-11-29,13:30,USD,High Impact Expected,Core PCE m/m
2013-12-02T15:00:00+00:00,2013-12-02,15:00,USD,High Impact Expected,ISM Manufacturing PMI
